LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
gpt-4o-mini,easy,explanation_length,10,12,heldout_refit_on_rule_activations,0.9854731209636612,39.814518096077926,0.4488573527919821,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,1,36,heldout_refit_on_rule_activations,0.8944339212212802,43.30411968221565,0.19737512536050342,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,3,36,heldout_refit_on_rule_activations,0.901280079805402,43.15153078415789,0.1973754896208695,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,10,36,heldout_refit_on_rule_activations,0.9454414041343856,31.536437802146466,0.6258502409762894,1.0,1.0
llama3.1,hard,information_overload,1,54,heldout_refit_on_rule_activations,0.4483058284651573,0.4969684072947247,0.6379553501519967,0.9586196555009691,0.9858166189111748
llama3.1,hard,information_overload,3,54,heldout_refit_on_rule_activations,0.6241980239900256,0.41501540507975315,0.7851515959764999,1.0,1.0
llama3.1,hard,information_overload,10,54,heldout_refit_on_rule_activations,0.6455073713594808,0.3944585693269566,0.7195359963499509,1.0,1.0
llama3.1:70b,hard,gunning_fog,1,38,heldout_refit_on_rule_activations,0.04225862667648239,6.153872654363392,0.1877790325313221,0.031206068024254515,0.05783582089552239
llama3.1:70b,hard,gunning_fog,3,38,heldout_refit_on_rule_activations,0.7143408845598571,3.059374634613194,0.821745508573673,0.9497963273609252,0.9802794569418294
llama3.1:70b,hard,gunning_fog,10,38,heldout_refit_on_rule_activations,0.7624850438934085,2.7992637634944897,0.8272431499061105,0.9775829851402339,0.9914730961481917
gpt-4o,easy,information_overload,1,20,heldout_refit_on_rule_activations,0.7468254317063023,0.011682999067107932,0.898641936435832,1.0,1.0
gpt-4o,easy,information_overload,3,20,heldout_refit_on_rule_activations,0.7659191684717227,0.012628054561108992,0.8986659152307519,1.0,1.0
gpt-4o,easy,information_overload,10,20,heldout_refit_on_rule_activations,0.7775321499376827,0.013230588784891986,0.2617418314963852,1.0,1.0
gpt-4o,medium,explanation_length,1,14,heldout_refit_on_rule_activations,0.9843609716512519,42.110670044299,0.425301260595846,1.0,1.0
gpt-4o,medium,explanation_length,3,14,heldout_refit_on_rule_activations,0.9859819246742774,36.0667670480613,0.6887141107658744,1.0,1.0
gpt-4o,medium,explanation_length,10,14,heldout_refit_on_rule_activations,0.986676479953078,34.77099350763773,0.6935641679916222,1.0,1.0
llama3.1:70b,hard,explanation_length,1,36,heldout_refit_on_rule_activations,0.8877518977531136,106.51369020522912,0.28336754506327005,1.0,1.0
llama3.1:70b,hard,explanation_length,3,36,heldout_refit_on_rule_activations,0.8930189892243744,105.8773669010982,0.28337074244675353,1.0,1.0
llama3.1:70b,hard,explanation_length,10,36,heldout_refit_on_rule_activations,0.9532717449355983,52.9841936388707,0.880232775165906,1.0,1.0
gpt-3.5-turbo,hard,subjectivity_score_nn,1,17,heldout_refit_on_rule_activations,0.5875596684128933,0.18726387921825716,0.6776102464566467,1.0,1.0
gpt-3.5-turbo,hard,subjectivity_score_nn,3,17,heldout_refit_on_rule_activations,0.5862773635439504,0.18659316350004584,0.672379715866433,1.0,1.0
gpt-3.5-turbo,hard,subjectivity_score_nn,10,17,heldout_refit_on_rule_activations,0.5947597118251202,0.18449315136187663,0.5662581991458507,1.0,1.0
gpt-4o-mini,medium,framing_effect,1,22,heldout_refit_on_rule_activations,0.7420558448435632,0.1979579675141024,0.9106427195374032,1.0,1.0
gpt-4o-mini,medium,framing_effect,3,22,heldout_refit_on_rule_activations,0.7644243752883365,0.17882896330413692,0.9124137280760283,1.0,1.0
gpt-4o-mini,medium,framing_effect,10,22,heldout_refit_on_rule_activations,0.7720248903048038,0.1734383191456557,0.914118545412696,1.0,1.0
gpt-4o,hard,subjectivity_score_nn,1,66,heldout_refit_on_rule_activations,0.5009296540562118,0.23503637264750682,0.7048199799415482,1.0,1.0
gpt-4o,hard,subjectivity_score_nn,3,66,heldout_refit_on_rule_activations,0.5641167662723974,0.2075642434953123,0.7206354715282631,1.0,1.0
gpt-4o,hard,subjectivity_score_nn,10,66,heldout_refit_on_rule_activations,0.616413251908514,0.1882922328234971,0.6841620460037702,1.0,1.0
gpt-4o-mini,hard,subjectivity_score_nn,1,23,heldout_refit_on_rule_activations,0.7552235627230102,0.10913924168081841,0.7348981052752376,0.8894754325047565,0.9176528599605522
gpt-4o-mini,hard,subjectivity_score_nn,3,23,heldout_refit_on_rule_activations,0.7856208660744723,0.09877881366929069,0.7774173634213248,1.0,1.0
gpt-4o-mini,hard,subjectivity_score_nn,10,23,heldout_refit_on_rule_activations,0.7906046038448529,0.09687636604638956,0.6849546166598037,1.0,1.0
gpt-4o,medium,information_overload,1,49,heldout_refit_on_rule_activations,0.4365567894221758,0.3546323588623691,0.7228738664638926,1.0,1.0
